index	0-9	10-19	120-129	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90-99
Stark County, Ohio, United States	False	False	False	False	False	False	True	False	False	False	False
Stearns County, Minnesota, United States	False	False	False	False	False	False	False	True	False	False	False
Stuttgart, Baden-Wurttemberg, Germany	False	False	False	False	False	True	True	False	False	False	False
Suffolk County, New York, United States	False	False	False	False	False	True	False	False	False	False	False
Suining City, Sichuan, China	False	False	False	True	False	False	False	False	False	False	False
Summit County, Colorado, United States	False	False	False	False	True	False	False	False	False	False	False
Sumter County, Florida, United States	False	True	False	False	True	True	False	True	True	True	True
Suwannee County, Florida, United States	False	False	False	False	False	False	True	False	False	False	False
Suzhou City, Jiangsu, China	False	False	False	False	True	False	False	False	False	False	False
Tam Dao District, Vinh Phuc, Vietnam	False	False	False	False	True	False	False	False	False	False	False
Taos County, New Mexico, United States	False	False	False	False	False	False	True	False	True	False	False
Teton County, Wyoming, United States	False	False	False	False	False	False	False	True	False	False	False
Thurston County, Washington, United States	False	False	False	False	False	False	True	False	False	False	False
Tianjin City District, Tianjin, China	False	False	False	False	False	False	True	True	False	False	False
Tianjin City, Tianjin, China	True	False	False	True	True	True	True	True	False	False	False
Tianshui City, Gansu, China	False	False	False	False	True	True	True	True	False	False	True
Tongchuan City, Shaanxi, China	False	False	False	True	False	False	True	False	True	False	False
Tonghua City, Jilin, China	False	False	False	False	True	True	True	True	False	False	False
Tongliao City, Inner Mongolia, China	False	False	False	False	False	False	False	True	False	False	False
Tongren City, Guizhou, China	False	False	False	True	False	False	True	False	False	True	False
Tulsa County, Oklahoma, United States	False	False	False	True	False	False	True	False	False	False	False
Ulju, Ulsan, South Korea	False	False	False	True	False	False	False	False	False	False	False
Ulm, Baden-Wurttemberg, Germany	False	True	False	False	False	True	True	False	False	False	False
Union County, New Jersey, United States	False	False	False	False	False	False	False	True	False	False	False
Urumqi City, Xinjiang, China	False	False	False	False	False	True	True	False	False	False	False
Volusia County, Florida, United States	False	True	False	True	True	True	True	True	True	True	False
Vorpommern-Greifswald, Mecklenburg-Vorpommern, Germany	False	False	False	False	False	False	False	True	False	False	False
Vorpommern-Rugen, Mecklenburg-Vorpommern, Germany	False	False	False	False	False	True	True	False	False	False	False
Walton County, Florida, United States	False	False	False	True	True	True	True	True	True	False	False
Ward County, North Dakota, United States	False	False	False	False	False	False	False	True	False	False	False
Waseca County, Minnesota, United States	False	False	False	False	False	True	False	False	False	False	False
Washington County, Florida, United States	False	False	False	False	False	False	True	False	False	False	False
Washington County, Oregon, United States	False	False	False	False	False	False	True	False	False	False	False
Washington County, Vermont, United States	False	False	False	False	False	False	True	False	False	False	False
Washoe County, Nevada, United States	False	False	False	True	True	True	False	True	False	False	False
Washtenaw County, Michigan, United States	False	True	False	False	False	False	False	False	False	False	False
Waterloo, Ontario, Canada	False	False	False	True	False	True	True	False	False	False	False
Weihai City, Shandong, China	False	False	False	False	True	False	False	False	False	False	False
Weinan City, Shaanxi, China	False	False	False	False	True	False	False	False	False	False	False
Wenshan Zhuang and Miao Autonomous Prefecture, Yunnan, China	False	True	False	False	False	False	False	False	False	False	False
Wenzhou City, Zhejiang, China	False	False	False	False	False	True	False	False	False	False	False
Westchester County, New York, United States	False	False	False	False	False	True	False	False	False	False	False
Whatcom County, Washington, United States	False	False	False	False	False	False	False	True	False	False	False
Williamson County, Tennessee, United States	False	False	False	False	False	True	False	False	False	False	False
Windham County, Vermont, United States	False	False	False	False	False	True	False	False	False	False	False
Windsor County, Vermont, United States	False	False	False	True	False	False	False	False	False	False	True
Wonju, Gangwon, South Korea	False	False	False	True	False	True	True	True	False	False	False
Woodford County, Illinois, United States	False	False	False	False	False	False	False	False	True	False	False
Wuhai City, Inner Mongolia, China	False	False	False	False	False	False	True	False	False	False	False
Wuhan City, Hubei, China	False	False	False	False	True	True	True	True	True	True	False
Wuzhou City, Guangxi, China	False	False	False	False	False	True	False	False	False	False	False
Wyandotte County, Kansas, United States	False	True	False	False	False	True	True	False	False	False	False
Xi'an City, Shaanxi, China	False	False	False	True	True	True	True	True	True	True	False
Xiamen City, Fujian, China	False	False	False	False	True	False	False	False	False	False	False
Xianyang City, Shaanxi, China	False	False	False	True	True	True	False	True	False	False	False
Xining City, Qinghai, China	True	True	False	True	True	True	False	False	False	False	False
Xinxiang City, Henan, China	False	False	False	False	True	False	False	False	False	False	False
Xishuangbanna Prefecture, Yunnan, China	False	False	False	False	True	False	False	False	False	False	False
Ya'an City, Sichuan, China	False	False	False	False	False	True	False	False	False	False	False
Yan'an City, Shaanxi, China	True	False	False	True	False	False	False	False	False	False	False
Yanbian Prefecture, Jilin, China	False	False	False	False	True	False	True	False	False	False	False
Yellowstone County, Montana, United States	False	False	False	True	False	False	True	False	False	False	False
Yeongi, Sejong, South Korea	False	True	False	True	True	True	True	False	False	False	False
Yichang City, Hubei, China	False	False	False	False	False	False	False	True	False	False	False
Yinchuan City, Ningxia Hui, China	False	False	False	True	False	False	False	False	False	False	False
York County, Maine, United States	False	False	False	False	False	False	True	False	False	False	False
York, Ontario, Canada	False	False	False	True	False	False	False	True	False	False	False
Yulin City, Guangxi, China	False	False	False	False	False	False	False	True	False	False	False
Yulin City, Shaanxi, China	False	False	False	False	False	False	False	True	False	False	False
Yuxi City, Yunnan, China	False	False	False	True	True	False	True	True	True	False	False
Zhaotong City, Yunnan, China	True	False	False	True	True	True	False	False	False	False	False
Zhengzhou City, Henan, China	False	False	False	False	True	False	False	True	False	False	False
Zhongshan City, Guangdong, China	False	False	False	False	False	True	False	False	False	False	False
Zhongwei City, Ningxia Hui, China	False	False	False	True	False	False	False	False	False	False	False
Zhoukou City, Henan, China	False	False	False	False	False	False	True	False	False	False	False
Zhuhai City, Guangdong, China	False	False	False	False	False	True	False	True	True	False	False
Zigong City, Sichuan, China	False	False	False	False	True	True	True	True	False	False	False
Zollernalb District, Baden-Wurttemberg, Germany	False	False	False	True	False	False	False	True	False	False	False
Zunyi City, Guizhou, China	False	True	False	True	True	False	False	True	True	True	False
